Time;Content;Source
2025-09-02 02:56:39+00:00;felix melawan!! #1312 https://t.co/ubxkF0CcFj;Twitter
2025-09-02 02:52:50+00:00;ngerusak fasum bikin ribut demo terus bikin flyer aksi palsu terus sekarang sebel sendiri ujung2nya nyerang kampus. itu otak kalo ga di dengkul dmn lagi guys?? 1312;Twitter
2025-09-02 02:50:43+00:00;Gabisa provokasi lg di jkt skrg pindah ke bdg. Wkwkwkkw 1312;Twitter
2025-09-02 02:49:03+00:00;si jimin jimin itu agaknya ga on samsek berarti bener dugaanku dulu kalo dia ga update dia lagi galau gws jimin gws indonesia #1312;Twitter
2025-09-02 02:47:49+00:00;sakit sih emang cari gara2 aja ini biar rakyat marah kaya kemarin 1312!!!!!;Twitter
2025-09-02 02:40:17+00:00;MENYALA TARAKAN 1312 GWS INDONESIA SAMPAI MENANG STAY SAFE STAY SANE;Twitter
2025-09-02 02:37:09+00:00;Aku ape bucinnnn day6 ga sido2 iki lho. Jangkreek kok ancen 1312 iki ancene;Twitter
2025-09-02 02:33:49+00:00;salah satu parcok yang bikin insta story tidak ada asap kalau tdk ada api cenah sugan idiot #ACAB #1312 https://t.co/WjXnwcvCzk;Twitter
2025-09-02 02:33:36+00:00;POLISI YG SEHARUSNYA MENINDAK DAN MENGATASI PELANGGAR MALAH JADI PELANGGAR. POLISI KONTOL. #1312 #ACAB;Twitter
2025-09-02 02:31:12+00:00;Logistik. Bantuan. Dijarah. Polisi. Logistik. Bantuan. Dijarah. Polisi. Ini dibaca berapa kali juga tetep nggak masuk di kepala gue anjir kacau banget lu pada @ 1312;Twitter
2025-09-02 02:30:26+00:00;parcok beneran membuang otak mereka ke tong sampah dan got karena yang mereka butuhkan hanya kenaikan pangkat. poor you guys. rot in hell. 1312!;Twitter
2025-09-02 02:29:13+00:00;patroli rutin mana yang pakai gas air mata anjing. 1312.;Twitter
2025-09-02 02:27:38+00:00;bayangin lu hidup merjuangin 1312 ini di tengah tengah keluarga lu yang aparat semua yap this is me.;Twitter
2025-09-02 02:25:32+00:00;"Rakyat ALL EYES ON BANDUNG Dulu Lawan Kami Suharto &amp; ABRI. Kini Lawan Kami DPR/d Partai &amp; Polisi. Sejarah ternyata bukan berulang tapi mereka tak pernah berubah. All Comandante &amp; Beloved Camerad 1 Sikap Bersama LAWAN #LawanBersama #1312 #ResetIndonesia #unisba #unpas https://t.co/gfZ41p78X4";Twitter
2025-09-02 02:17:29+00:00;1312 1312 1312 1312 saya gaakan pernah maafin kalian yang nyerang kampus saya.;Twitter
2025-09-02 02:09:02+00:00;@wordfangs Jakarta udh lumayan tenang malah nyerang bandung yang dimana itu jg tempat medis semua2nya diserang gila!! Polisi gila! Prabowo gila! 1312;Twitter
2025-09-02 02:06:54+00:00;bangun tidur aku pikir udh balik kandang tuh para binatang (1312) TAU MAKIN BERTINGKAH AJG UNIV ITU GBLK SAMPE MASUK DI SERANG OTAK LO KEMANA;Twitter
2025-09-02 02:01:35+00:00;@wordfangs MAU INGETIN AJA TNI BUKAN TEMAN SEMUA APARAT KEPARAT 1312 #ACAB;Twitter
2025-09-02 02:00:13+00:00;innalillahi. sudah sesembarangan ini pemakaian gas air mata... 1312 ‼️;Twitter
2025-09-02 01:59:43+00:00;Banyak polisi yg baik Tapi sangat jarang yg dpt promosi jabatan tinggi. TAK SETUJU ACAB 1312 https://t.co/U52utbuwan https://t.co/h3at029s0B;Twitter
2025-09-02 01:58:30+00:00;Lukai Polisi Polisi naik pangkat . Lukai Rakyat Rakyat jadi mayat!!!! #1312;Twitter
2025-09-02 01:56:19+00:00;@LULUSAN_SD_ Jadi gak salah kan? Polisi memiliki 'tempat' tersendiri di hati kami tak terlupakan... Nama dr 'tempat' tsb adalah: dendam kesumat...... 1312.. acab.;Twitter
2025-09-02 01:54:07+00:00;KABAR BURUK TERUS SETIAP HARI NYA! 1312 FOREVER!;Twitter
2025-09-02 01:49:48+00:00;Dampak naik pangkat jadi makin semena mena masuk kampus anjingggg #1312;Twitter
2025-09-02 01:41:45+00:00;Bener-bener kelewatan tolol. Tempat yg seharusnya jadi benteng terakhir tempatnya ilmu malah diserang serangkaian manusia-manusia biadab ga ada otak. 1312 brainless.;Twitter
2025-09-02 01:40:44+00:00;nyawa rakyat lu berharga anj dan lu serang KAMPUS?????? tololllllllllll riil kaget sengaja bgt di tengah malem ya tuhannnnn !!!!!1312!!!!!;Twitter
2025-09-02 01:39:51+00:00;Bukti bukti masukin ke Giphy biar nanti bisa dipakai di reply Instagram. Kasih tag seperti 1312 parjo parcok kacangijo https://t.co/guLRnTIk3h;Twitter
2025-09-02 01:32:56+00:00;1312 ini dapet info dari mana deh? Atau cuma berasumsi terus nyerang? Bukti tuduhan kalian ke kampus ini ada gak? Atau cuma haus keributan aja? Mual banget aku lihatnya;Twitter
